Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
Scrypt,PoW/PoS,41.99995383,42
Scrypt,PoW/PoS,1055184902.04,532000000
X13,PoW/PoS,29279424622.5027,314159265359
SHA-256,PoW,17927175.0,21000000
Ethash,PoW,107684222.6865,0
Scrypt,PoW,63039243.30000489,84000000
X11,PoW/PoS,9031294.37563393,22000000
CryptoNight-V7,PoW,17201143.1449131,0
Ethash,PoW,113359703.0,210000000
Equihash,PoW,7383056.25,21000000
SHA-512,PoS,2741570000.0,3600570502
Multiple,PoW,11406219141.0,21000000000
SHA-256,PoW/PoS,1288862.0,22000000
SHA-256,PoS,11995334.8847328,12500000
Scrypt,PoW,5768310.0,21000000
X15,PoW/PoS,25542535.5881841,350000000
X11,PoW,11149733.9976203,20000000
Scrypt,PoW,12205795.444954902,64000000
Scrypt,PoW/PoS,18135099.992959,16768584
Scrypt,PoW/PoS,635423900.0,0
Multiple,PoW,1688254250.0,2000000000
Scrypt,PoW,88.0,384000000000
SHA-256,PoW,170204389.754849,169795588
Scrypt,PoW,128940951.183046,250000000
Scrypt,PoW,7357794.7925,100000000
Scrypt,PoW/PoS,123062801.128773,0
Quark,PoW,259557164.91477,247000000
Groestl,PoW,49548585.14129171,84000000
Scrypt,PoW,33442988.3440364,48166000
Scrypt,PoW/PoS,42579.476901,500000
Scrypt,PoW,7219956.64626131,21000000 
Scrypt,PoW/PoS,1039116.65144562,1000000
Scrypt,PoW,4703879.51824446,13140000
X11,PoW,4996986.20575291,18000000
Scrypt,PoC,39999997299.8568,40000000000
Groestl,PoW/PoS,3304487.74735637,4380000
Multiple,PoW,15929530669.1206,16555000000
SHA-256,PoW,18773857500.0,21000000000
Scrypt,PoW,12539015186.821999,13500000000
Scrypt,PoW,20910478.806249898,21000000 
Scrypt,PoW,218871896.499999,299792458
Scrypt,PoW,19496786.31025,32000000
PoS,PoS,5679705.0,0
Scrypt,PoS/PoW/PoT,461829905.32892996,0
Scrypt,PoW,1142732.14912776,11235813
NeoScrypt,PoW,208669093.00773,336000000
Scrypt,PoW,884125802.0,1420609614
Scrypt,PoW,65672720.470874794,70000000
Scrypt,PoW,41658647.9999715,72245700
Scrypt,PoW/PoS,89266933.684704,120000000
X11,PoS,1678520090.7713,0
Scrypt,PoW,90595753018.6314,90600000000
X11,PoW/PoS,17650913.974345602,22000000
SHA-256,PoW,21089348.999,21000000
Scrypt,PoW,151447649.8,265420800
Scrypt,PoW,19326319.14375,20000000
Scrypt,PoW,1104344.22938102,1350000
SHA3,PoW/PoS,61445805.0,100000000
Scrypt,PoW,38151999.993099704,42000000
HybridScryptHash256,PoW,40431856.9,200000000
Scrypt,PoS,21293925445.4969,0
Scrypt,PoW,5804204.88794916,10000000
SHA-256,PoW/PoS,1613836099.99999,2419200000
Scrypt,PoS,16180000.0,16180000
X13,PoW/PoS,66087096.20771079,0
Scrypt,PoW,2366066305.76482,15000000000
SHA-256,PoW,14736400.0,21000000
Scrypt,PoW,334709223.48313797,337000000
X13,PoW/PoS,15156364.3306548,0
NeoScrypt,PoW/PoS,3220616.279225,3770000
Scrypt,PoW/PoS,222677226.014206,420000000
Scrypt,PoW/PoS,73959274.625,98000000
Scrypt,PoW/PoS,29315567169.0888,0
Scrypt,PoW,1104157.42169891,21000000
Scrypt,PoW,24215181.725,250000000
Scrypt,PoW,25593737.1355044,51200000
X11,PoS,50707661.74935179,0
X11,PoW/PoS,1177.0,1000
SHA-256,PoW,563336541.299966,888000000
Multiple,PoS,80260463.7331396,100000000
SHA-256,PoW,43536800.0,47011968
PHI1612,PoS,1622326490.46336,2300000000
X11,PoW/PoS,1431851.00002479,10000000
SHA-256,PoW,22935396.0,42000000
SHA-256,PoW,2278150.0,80000000
SHA-256,PoW,200911.79151896,250000
X11,PoW,1207310.0,0
Scrypt,PoW/PoS,1098952592.6,1600000000
Scrypt,PoW/PoS,50235211.141939,100000000
Scrypt,PoW,23150892.167968698,23000000
Scrypt,PoST,32021108.413669605,0
Lyra2REv2,PoW,51173723.81663471,84000000
Scrypt,PoW,119606941.0,265420800
X11,PoW/PoS,6950831.0970606,5500000
Multiple,PoS,100000000.0,0
SHA-256,PoW,39195739.362088,45000000
X13,PoW/PoS,33093725.4123502,0
Scrypt,PoW/PoS,147990237.978331,1000000000
CryptoNight,PoW,184066828814.0,184467440735
CryptoNight,PoW,6906587610.38292,10000000000
Shabal256,PoC,1813033920.0,2158812800
Counterparty,PoS,51173144.0,500000000
Scrypt,PoW,68194674.8711679,105120000
SHA-256,PoW/PoS,39121694.0,68000000
Groestl,PoW/PoS,53193831.0,0
Scrypt,PoW,415032420.0,1680000000
Scrypt,PoS,27184490.3918338,0
Scrypt,PoW,137517654.41397,166386000
X13,PoW/PoS,2022464.886973,12000000
Scrypt,PoW,181919.2435974,2628000
Scrypt,PoS,174646113.934655,500000000
Scrypt,PoW,152270664.860648,160000000
Scrypt,PoW/PoS,1467841.0,0
X13,PoW/PoS,7096834.0,10000000
Scrypt,PoW,792537250.0,1000000000
Stanford Folding,PoW,719416990.0,1000000000
X11,PoS,2689812.0,20000000
Multiple,PoW,65113302.0,0
QuBit,PoW,6365285.0,0
Scrypt,PoW,10140044.443029301,3371337
Scrypt,PoW/PoS,11604722.0,20000000
Scrypt,PoW,4610340640.89,10000000000
M7 POW,PoW,708506520.0,1840000000
Scrypt,PoW,619478.0,619478
SHA-256,PoW,12462620.0,21000000
Scrypt,PoW,88213.0,92000000000
X11,PoW/PoS,1513704.0,0
SHA3,PoW/nPoS,63657220.0,78000000
X11,PoW,32221574.820996,33000000
Lyra2RE,PoW,13742738.0,65789100
SHA-256,PoW,14747200.0002,53760000
QUAIT,PoW/PoS,8568038.35935056,5060000
X11,PoW,15863837.5,21000000
X11,PoS/PoW,329200.01639,0
Scrypt,PoW,32565300.0,210240000
